,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
35,Kuwait,39,6.295,41,6.239,115.0,111.0,3935.79,4052.58,29.219038617405907,27.38995898908843,125,29943033040.4638,28840126843.5668,7607883.815057155,7116485.508877506,121.1019009,126.32159720000001,121.1019009,126.32159720000001,121.1019009,126.32159720000001,121.1019009,126.32159720000001,121.1019009,126.32159720000001
36,Suriname,40,6.269,40,6.269,4.83,3.28,553.21,558.37,8.730861698089333,5.874241094614681,218,,,,,158.4033333,164.14583330000002,158.4033333,164.14583330000002,158.4033333,164.14583330000002,158.4033333,164.14583330000002,158.4033333,164.14583330000002
37,Trinidad and Tobago,41,6.167999999999999,43,6.167999999999999,23.56,21.89,1360.09,1364.96,17.322383077590455,16.037099988278044,240,74149014323.1907,,54517726.27046056,,118.31483329999999,117.26566670000001,118.31483329999999,117.26566670000001,118.31483329999999,117.26566670000001,118.31483329999999,117.26566670000001,118.31483329999999,117.26566670000001
38,El Salvador,42,6.13,46,6.068,26.05,26.8,6312.48,6344.72,4.126745748105341,4.223984667566103,209,9610754016.42783,9874235957.68815,1522500.509534736,1556291.8391494267,100.0008333,99.90666667,100.0008333,99.90666667,100.0008333,99.90666667,100.0008333,99.90666667,100.0008333,99.90666667
39,Guatemala,43,6.122999999999999,39,6.324,63.77,68.76,16252.43,16582.47,3.923720945114054,4.146547528806022,90,242634096594.117,252439146392.068,14929096.547046626,15223253.616142105,101.4457958,104.2237997,101.4457958,104.2237997,101.4457958,104.2237997,101.4457958,104.2237997,101.4457958,104.2237997
40,Uzbekistan,44,6.002999999999999,49,5.987,66.9,67.22,31298.9,31847.9,2.13745530993102,2.1106572175873444,250,3188658512200.0,3437373876200.0,101877654.23704986,107930942.89419396,100.0,103.55,100.0,103.55,100.0,103.55,100.0,103.55,100.0,103.55
41,Japan,46,5.987,53,5.921,4390.0,4950.0,127141.0,126994.51,34.52859423789336,38.97806290996359,117,524721430845827.0,534252531018354.0,4127082773.0301557,4206894699.7657933,151.52625830000002,162.2034083,151.52625830000002,162.2034083,151.52625830000002,162.2034083,151.52625830000002,162.2034083,151.52625830000002,162.2034083
42,Ecuador,48,5.975,51,5.976,99.29,98.61,16144.37,16385.07,6.150131593862133,6.018283718043316,64,68599573974.3416,67813642894.9079,4249132.915954081,4138745.9983331105,122.85,122.03333329999998,122.85,122.03333329999998,122.85,122.03333329999998,122.85,122.03333329999998,122.85,122.03333329999998
43,Bahrain,49,5.96,42,6.218,31.13,32.18,1371.86,1425.17,22.691819865000802,22.579762414308465,20,10568328901.0792,,7703649.717230039,,235.5907299,256.4034009,235.5907299,256.4034009,235.5907299,256.4034009,235.5907299,256.4034009,235.5907299,256.4034009
44,Italy,50,5.9479999999999995,50,5.977,1830.0,1860.0,60730.58,60627.5,30.133089458391474,30.679147251659725,114,1568264210261.92,1593600332236.06,25823303.684271086,26285107.125249434,107.6249,108.59946670000001,107.6249,108.59946670000001,107.6249,108.59946670000001,107.6249,108.59946670000001,107.6249,108.59946670000001
45,Bolivia,51,5.89,59,5.822,33.0,33.81,10724.7,10887.88,3.0770091471090097,3.1052877144127233,26,41383274603.7384,42543154948.5023,3858688.3179705166,3907386.465363533,100.0,100.2908333,100.0,100.2908333,100.0,100.2908333,100.0,100.2908333,100.0,100.2908333
46,Moldova,52,5.888999999999999,55,5.897,6.51,6.75,3554.11,3551.95,1.83168219329171,1.900364588465491,148,23905299782.6501,24978570908.0344,6726100.143960119,7032354.314681908,107.544875,107.6961,107.544875,107.6961,107.544875,107.6961,107.544875,107.6961,107.544875,107.6961
47,Paraguay,53,5.877999999999999,70,5.537999999999999,27.28,27.42,6639.12,6725.31,4.108978298328695,4.077135477769797,193,27179480392090.0,28327742014216.4,4093837796.589006,4212109481.0821204,284.75,292.5083333,284.75,292.5083333,284.75,292.5083333,284.75,292.5083333,284.75,292.5083333
48,Kazakhstan,54,5.855,54,5.919,184.0,137.0,17544.13,17794.4,10.487838382410526,7.699051386953198,118,14242357936343.1,,811801892.5043931,,140.9,146.6583333,140.9,146.6583333,140.9,146.6583333,140.9,146.6583333,140.9,146.6583333
